name,f,lambda,coeff
HI_1215,4.1620e-01,1215.6701,-1
HI_1025,7.9140e-02,1025.7222,-1
HI_972,2.9010e-02,972.5367,-1
HI_949,1.3950e-02,949.7430,-1
HI_937,7.8030e-03,937.8034,-1
HI_930,4.8160e-03,930.7482,-1
HI_926,3.1850e-03,926.2256,-1
HI_923,2.2170e-03,923.1503,-1
HI_920,1.6060e-03,920.9630,-1
HI_919,1.2010e-03,919.3513,-1
HI_918,9.2190e-04,918.1293,-1
HI_917,7.2310e-04,917.1805,-1
HI_916,5.7770e-04,916.4291,-1
HI_915,4.6890e-04,915.8238,-1
HI_915,3.8580e-04,915.3289,-1
HI_914,3.2120e-04,914.9192,-1
HI_914,2.7030e-04,914.5762,-1
HI_914,2.2970e-04,914.2861,-1
HI_914,1.9680e-04,914.0385,-1
HI_913,1.6990e-04,913.8256,-1
HI_913,1.4770e-04,913.6411,-1
HI_913,1.2930e-04,913.4803,-1
HI_913,1.1370e-04,913.3391,-1
HI_913,1.0060e-04,913.2146,-1
HI_913,8.9360e-05,913.1042,-1
HI_913,7.9780e-05,913.0059,-1
HI_912,7.1480e-05,912.9179,-1
HI_912,6.4350e-05,912.8389,-1
HI_912,5.8120e-05,912.7676,-1
HI_912,5.2640e-05,912.7032,-1
